regiao_adm,codra
PAQUETA                 ,21
ILHA DO GOVERNADOR      ,20
ILHA DO GOVERNADOR      ,20
ILHA DO GOVERNADOR      ,20
ILHA DO GOVERNADOR      ,20
ILHA DO GOVERNADOR      ,20
ILHA DO GOVERNADOR      ,20
VIGARIO GERAL           ,31
ILHA DO GOVERNADOR      ,20
VIGARIO GERAL           ,31
ILHA DO GOVERNADOR      ,20
PAVUNA                  ,25
VIGARIO GERAL           ,31
ILHA DO GOVERNADOR      ,20
VIGARIO GERAL           ,31
PAVUNA                  ,25
ILHA DO GOVERNADOR      ,20
PENHA                   ,11
ILHA DO GOVERNADOR      ,20
IRAJA                   ,14
ANCHIETA                ,22
PAVUNA                  ,25
ILHA DO GOVERNADOR      ,20
PAVUNA                  ,25
PENHA                   ,11
PENHA                   ,11
ILHA DO GOVERNADOR      ,20
ILHA DO GOVERNADOR      ,20
PAVUNA                  ,25
ANCHIETA                ,22
ANCHIETA                ,22
PAVUNA                  ,25
IRAJA                   ,14
ANCHIETA                ,22
IRAJA                   ,14
MADUREIRA               ,15
RAMOS                   ,10
IRAJA                   ,14
COMPLEXO DA MARE        ,30
REALENGO                ,33
ILHA DO GOVERNADOR      ,20
MADUREIRA               ,15
RAMOS                   ,10
REALENGO                ,33
IRAJA                   ,14
MADUREIRA               ,15
IRAJA                   ,14
SANTA CRUZ              ,19
INHAUMA                 ,12
COMPLEXO DO ALEMÃO      ,29
MADUREIRA               ,15
BANGU                   ,17
MADUREIRA               ,15
MADUREIRA               ,15
RAMOS                   ,10
INHAUMA                 ,12
INHAUMA                 ,12
CAMPO GRANDE            ,18
MADUREIRA               ,15
MADUREIRA               ,15
SANTA CRUZ              ,19
REALENGO                ,33
BANGU                   ,17
MADUREIRA               ,15
REALENGO                ,33
INHAUMA                 ,12
RAMOS                   ,10
MADUREIRA               ,15
MEIER                   ,13
INHAUMA                 ,12
MEIER                   ,13
MADUREIRA               ,15
JACAREPAGUA             ,16
INHAUMA                 ,12
MADUREIRA               ,15
REALENGO                ,33
MADUREIRA               ,15
MEIER                   ,13
CAMPO GRANDE            ,18
CAMPO GRANDE            ,18
JACAREZINHO             ,28
MEIER                   ,13
JACAREPAGUA             ,16
SAO CRISTOVAO           ,7
MEIER                   ,13
SAO CRISTOVAO           ,7
SAO CRISTOVAO           ,7
CAMPO GRANDE            ,18
MEIER                   ,13
MEIER                   ,13
MEIER                   ,13
MEIER                   ,13
MEIER                   ,13
PORTUARIA               ,1
PORTUARIA               ,1
CENTRO                  ,2
MEIER                   ,13
MEIER                   ,13
PORTUARIA               ,1
MEIER                   ,13
MEIER                   ,13
SAO CRISTOVAO           ,7
JACAREPAGUA             ,16
JACAREPAGUA             ,16
MEIER                   ,13
MEIER                   ,13
JACAREPAGUA             ,16
RIO COMPRIDO            ,3
TIJUCA                  ,8
VILA ISABEL             ,9
VILA ISABEL             ,9
BOTAFOGO                ,4
RIO COMPRIDO            ,3
SANTA TEREZA            ,23
RIO COMPRIDO            ,3
TIJUCA                  ,8
RIO COMPRIDO            ,3
VILA ISABEL             ,9
JACAREPAGUA             ,16
VILA ISABEL             ,9
BOTAFOGO                ,4
BOTAFOGO                ,4
BOTAFOGO                ,4
GUARATIBA               ,26
BARRA DA TIJUCA         ,24
TIJUCA                  ,8
BOTAFOGO                ,4
JACAREPAGUA             ,16
BOTAFOGO                ,4
BOTAFOGO                ,4
CIDADE DE DEUS          ,34
SANTA CRUZ              ,19
JACAREPAGUA             ,16
JACAREPAGUA             ,16
BARRA DA TIJUCA         ,24
BOTAFOGO                ,4
JACAREPAGUA             ,16
LAGOA                   ,6
BARRA DA TIJUCA         ,24
COPACABANA              ,5
COPACABANA              ,5
LAGOA                   ,6
BARRA DA TIJUCA         ,24
LAGOA                   ,6
BARRA DA TIJUCA         ,24
LAGOA                   ,6
LAGOA                   ,6
LAGOA                   ,6
ROCINHA                 ,27
GUARATIBA               ,26
BARRA DA TIJUCA         ,24
LAGOA                   ,6
BARRA DA TIJUCA         ,24
GUARATIBA               ,26
BARRA DA TIJUCA         ,24
PORTUARIA               ,1
REALENGO                ,33
CENTRO,2
CAMPO GRANDE            ,18
BANGU                   ,17
BANGU                   ,17
BANGU,17
BANGU                   ,17
GUARATIBA               ,26
