CNES,NOME,EQUIPES,ENDERECO,BAIRRO
15 - MADUREIRA,90,SMS CF ENGENHEIRO SANITARISTA PAULO D AGUILA AP 33,JORGE SHMIDT, 331
17 - BANGU,141,SMS CF CRISTIANI VIEIRA PINHO AP - 51,PRACA LEALDINA MUNIZ,
15 - MADUREIRA,78,SMS CF ADV MARIO PIRES DA SILVA AP - 33,PRACA MARCIA MENDES 0 CAMPINHO,
16 - JACAREPAGUA,118,SMS CF LOURIVAL FRANCISCO DE OLIVEIRA AP - 40,AVENIDA COMANDANTE GUARANYS 0 CIDADE DE DEUS,
24 - BARRA DA TIJUCA,127,SMS CF PADRE MARCOS VINICIO MIRANDA VIEIRA - AP 40,ESTRADA DO ITANHANGA S/N ITANHANGA,
14 - IRAJA,76,SMS CMS CLEMENTINO FRAGA - AP 33,RUA CAICARA, 514
14 - IRAJA,77,SMS CMS CARLOS CRUZ LIMA - AP 33,ESTRADA DO COLEGIO, 983
9 - VILA ISABEL,36,SMS RIO HOSPITAL MUNICIPAL JESUS,RUA OITO DE DEZEMBRO, 717
8 - TIJUCA,32,SMS POLICLINICA HELIO PELLEGRINO - AP 22,RUA DO MATOSO, 96
8 - TIJUCA,33,SMS CMS HEITOR BELTRAO - AP 22,RUA DESEMBARGADOR ISIDRO, 144
13 - MEIER,69,SMS HOSPITAL MUNICIPAL DA PIEDADE - AP 32,RUA DA CAPELA, 96
13 - MEIER,71,SMS CMS EDUARDO A VILHENA - AP 32,RUA JOSE DOS REIS, 951
18 - CAMPO GRANDE,144,SMS CMS GARFIELD DE ALMEIDA - AP 52,RUA GENERAL PAULO DE OLIVEIRA, 226
18 - CAMPO GRANDE,146,SMS CMS EDGARD MAGALHAES GOMES - AP 52,PRACA FILOMENA CARLOS MAGNO, 0
18 - CAMPO GRANDE,144,SMS CMS DR OSWALDO VILELLA - AP 52,RUA JOMAR MENDES, S/N
18 - CAMPO GRANDE,144,SMS CMS BELIZARIO PENNA - AP 52,RUA FRANKLIN, 29
18 - CAMPO GRANDE,147,SMS CMS MARIO RODRIGUES CID - AP 52,RUA MATUREIA, S/N
25 - PAVUNA,113,SMS CMS SYLVIO FREDERICO BRAUNER - AP 33,RUA DARWIN BRANDAO, S/N
4 - BOTAFOGO,20,SMS CMS DOM HELDER CAMARA - AP 21,RUA VOLUNTARIOS DA PATRIA, 136
20 - ILHA DO GOVERNADOR,104,SMS HOSPITAL MUNICIPAL NOSSA SENHORA DO LORETO - AP - 31,RUA TAIFEIRO OSMAR DE MORAES, 26
15 - MADUREIRA,86,SMS CMS CARMELA DUTRA - AP 33,AV. DOS ITALIANOS, 480
22 - ANCHIETA,108,SMS CMS FLAVIO DO COUTO VIEIRA - AP 33,RUA LUCIO JOSE FILHO, S/N
13 - MEIER,66,SMS CMS MILTON FONTES MAGARAO - AP 32,AV AMARO CAVALCANTI, 1387
9 - VILA ISABEL,11,SMS HOSPITAL DE GERIAT. E GERONT. - AP 22,RUA VISCONDE DE NITEROI, 1450
17 - BANGU,142,SMS CMS ALEXANDER FLEMING - AP 51,RUA MARMIARI, S/N
31 - VIGARIO GERAL,46,SMS CMS JOSE BREVES DOS SANTOS - AP 31,RUA MAR GRANDE, 10
19 - SANTA CRUZ,149,SMS CMS CATTAPRETA - AP 53,RUA ENGENHEIRO JOSE BOANERGES CESAR, S/N
15 - MADUREIRA,83,SMS CMS ALBERTO BORGERTH - AP 33,RUA PADRE MANSO, S/N
15 - MADUREIRA,90,SMS RIO HOSPITAL MATERNIDADE ALEXANDER FLEMING,JORGE SHMIDT, 331
3 - RIO COMPRIDO,7,SMS CMS SALLES NETTO - AP 10,PRACA CONDESSA PAULO DE FRONTIN, 52
16 - JACAREPAGUA,115,SMS IMAS JULIANO MOREIRA - AP 40,ESTRADA RODRIGUES CALDAS, 3400
24 - BARRA DA TIJUCA,130,SMS CMS CECILIA DONNANGELO - AP 40,ESTRADA DOS BANDEIRANTES, 21136
17 - BANGU,141,SMS POLICLINICA MANOEL GUILHERME (PAM BANGU) - AP 51,AV. RIBEIRO DANTAS, 571
20 - ILHA DO GOVERNADOR,93,SMS HOSPITAL MUNICIPAL PAULINO WERNECK - AP 31,ESTRADA DA CACUIA, 745
20 - ILHA DO GOVERNADOR,100,SMS POLICLINICA NEWTON ALVES CARDOZO - AP 31,RUA DR ANTONIO MONTEIRO - ANTIGA RUA COMBU, 191
27 - ROCINHA,154,SMS CMS DR ALBERT SABIN - AP 21,ESTRADA DA GAVEA, 250
7 - SAO CRISTOVAO,11,SMS HOSPITAL MUNICIPAL BARATA RIBEIRO AP. 1.0,RUA VISCONDE DE NITEROI, 1450
7 - SAO CRISTOVAO,10,SMS CMS ERNESTO ZEFERINO TIBAU JR - AP 10,AVENIDA DO EXERCITO, 1
6 - LAGOA,29,SMS HOSPITAL MUNICIPAL MIGUEL COUTO - AP 21,RUA MARIO RIBEIRO, 117
26 - GUARATIBA,153,SMS CMS ALVIMAR DE CARVALHO - AP 52,RUA SOLDADO ELISEU HIPOLITO, S/N
26 - GUARATIBA,151,SMS CMS WOODROW PIMENTEL PANTOJA - AP 52,ESTRADA DO MAGARCA, 4435
26 - GUARATIBA,151,SMS CMS RAUL BARROSO - AP 52,AV ROBERTO BURLE MAX, S/N
26 - GUARATIBA,152,SMS CMS MOURAO FILHO - AP 52,ESTRADA DA BARRA DE GUARATIBA, 9748
26 - GUARATIBA,151,SMS CMS MAIA BITTENCOURT - AP 52,ESTRADA DO MATO ALTO, 5609
18 - CAMPO GRANDE,146,SMS CMS ADAO PEREIRA NUNES - AP 52,RUA FLORESTAL, S/N
18 - CAMPO GRANDE,144,SMS POLICLINICA CARLOS ALBERTO NASCIMENTO - AP 52,PRACA MAJOR VIEIRA DE MELO, S/N
18 - CAMPO GRANDE,143,SMS CMS MANOEL DE ABREU - AP 52,RUA PADRE NOE GUALBERTO, 1
15 - MADUREIRA,83,SMS HOSPITAL MATERNIDADE HERCULANO PINHEIRO - AP 33,AV MIN EDGARD ROMERO, 276
17 - BANGU,141,SMS CMS WALDYR FRANCO - AP 51,PRACA CECILIA PEDRO, 60
17 - BANGU,141,SMS CMS HENRIQUE MONAT - AP 51,ESTRADA DO QUAFA, 7
17 - BANGU,140,SMS CMS PADRE MIGUEL - AP 51,RUA SANTO EVALDO, S/N
17 - BANGU,141,SMS CMS ATHAYDE JOSE DA FONSECA - AP 51,AV DEZENOVE DE ABRIL RUA ROQUE BARBOSA, S/N
12 - INHAUMA,54,SMS POLICLINICA RODOLPHO ROCCO - AP 32,ESTRADA ADHEMAR BEBIANO, 339
17 - BANGU,142,SMS CMS SILVIO BARBOSA - AP 51,RUA RODRIGUES DE FREITAS, S/N
33 - REALENGO,137,SMS CMS MASAO GOTO - AP 51,AV CARLOS PONTES, S/N
17 - BANGU,142,SMS CMS DR EITHEL PINHEIRO DE OLIVEIRA LIMA - AP 51,ESTRADA DO TAQUARAL, S/N
24 - BARRA DA TIJUCA,128,SMS HOSPITAL MUNICIPAL LOURENCO JORGE- AP 40,AV AYRTON SENNA, 2000
18 - CAMPO GRANDE,146,SMS CMS MARIO VITOR DE A PACHECO - AP 52,AVENIDA CESARIO DE MELO, 5580
18 - CAMPO GRANDE,144,SMS CMS PEDRO NAVA - AP 52,RUA DO PERNAMBUCANO, S/N
