Localidade,Quantidade Famílias Sim,Quantidade Famílias Não,Quantidade Famílias Total
Localidade nÃ£o preenchida,20,33,53
100,0,1,1
10022483705,0,1,1
1030317,1,0,1
1061111,2,0,2
1063333,1,0,1
1073333,1,1,2
11,0,3,3
1103333,1,0,1
111111,1,0,1
1112222,1,0,1
1123333,1,0,1
1130643,1,0,1
11490508708,1,0,1
1163333,1,0,1
1173333,1,0,1
12,0,1,1
1221111,0,1,1
1223333,0,2,2
12282218710,0,1,1
1231111,1,0,1
1241111,1,0,1
12411111,1,0,1
13,1,0,1
13574383703,1,0,1
14,0,1,1
1401111,1,1,2
141,1,0,1
141111,1,0,1
1411111,2,0,2
1413333,1,0,1
1422222,1,0,1
1461111,1,0,1
1481025,1,0,1
1481111,1,0,1
1482222,0,1,1
1491111,0,1,1
1492222,2,0,2
1493333,0,1,1
1501111,1,0,1
1511111,1,0,1
151 3333,1,0,1
1573333,0,1,1
1573695760,0,1,1
17552,0,1,1
18,0,1,1
1BANGU,1,0,1
1CAJU,0,1,1
1IRAJA,0,1,1
1RAMOS,0,1,1
1SANTA CRUZ,0,1,1
1SEPETIBA,0,1,1
Localidade nÃ£o preenchida,3,7,10
2021,1,0,1
21,0,2,2
21725020,1,0,1
22,2,1,3
25SANTA TERESA,0,1,1
2ACARI,1,0,1
2SENADOR CAMARA,0,1,1
Localidade nÃ£o preenchida,0,1,1
34111,1,0,1
36107,1,0,1
Localidade nÃ£o preenchida,1,0,1
40008,1,0,1
420094,1,0,1
421111,0,1,1
430128,1,0,1
43111,1,0,1
431111,1,3,4
4PILARES,1,0,1
Localidade nÃ£o preenchida,1,0,1
524,1,0,1
533333,1,0,1
540670,0,1,1
5 BOCA,1,0,1
661111,0,1,1
690143,1,0,1
75275554753,0,1,1
7 DE ABRIL,0,2,2
Localidade nÃ£o preenchida,0,1,1
820210,0,1,1
830230,1,0,1
831111,0,1,1
85,0,1,1
861111,2,1,3
Localidade nÃ£o preenchida,2,1,3
90012,1,0,1
901111,0,1,1
9SEPETIBA,0,2,2
AANCHIETA,1,0,1
AARI,2,1,3
ABOLICAO,502,718,1
ABOLICO,0,1,1
ABOLIOCAO,0,1,1
ABOOICAO,0,1,1
ACARAI,1,0,1
ACARFI,1,0,1
ACARI,3,5,8
ACARIA,0,1,1
ACARI RUA,0,1,1
ACARO,0,1,1
ACARU,0,1,1
ACHIETA,2,1,3
ACIENCIA,1,0,1
ACRAI,0,1,1
AGALHAES BASTOS,0,1,1
AGUA SA,0,1,1
AGUA SANTA,327,717,1
AJU,1,4,5
AL,1,1,2
ALAGADO,1,0,1
ALT,1,0,1
ALTO,2,3,5
ALTO BOA VISTA,3,4,7
ALTO DA BOA,1,0,1
ALTO DA BOAVISTA,0,1,1
ALTO DA BOA VISTA,627,469,1
ALTO DA BOA VISTAQ,0,1,1
ALTO SIMAO,1,0,1
AMARELINHO,0,1,1
AMARO AMAURI DOS SANTOS,1,0,1
AMCHIETA,2,0,2
AMDARAI,0,1,1
AMIL,0,1,1
AMORIM,1,0,1
AMRE,1,0,1
AN,0,2,2
ANA,0,1,1
ANACHIETA,1,1,2
ANADARAI,0,1,1
ANC,1,0,1
ANCHEITA,2,6,8
ANCHETA,1,0,1
ANCHIEA,1,0,1
ANCHIETA,3,5,8
ANCHIETE,0,1,1
ANCHIIETA,0,1,1
ANCHITA,1,2,3
ANCIETA,0,1,1
ANCIHETA,0,1,1
ANDA,0,1,1
ANDARA,0,1,1
ANDARAI,1,1,3
ANDARAII,0,2,2
ANDRAI,1,1,2
ANDREA FABRICIO DA SILVA,0,1,1
ANDREA MENDES CRUZ,0,1,1
ANHIETA,0,1,1
ANI,0,1,1
ANIL,2,1,4
AN IL,1,0,1
ANILA,1,0,1
ANIL JACAREPAGUA,2,0,2
ANL,1,1,2
ANTA CRUZ,1,0,1
ANTARES,0,2,2
ANXIETA,0,1,1
ARARA,0,2,2
ARARA BENFICA,0,1,1
AREINHA,0,1,1
ASCARI,0,1,1
ATUBA,0,1,1
AUGUSTO VASCONCELOS,1,5,6
AV,0,1,1
AVENIDA,2,3,5
AVENIDA CIDADE DE DEUS LADO MPAR,1,0,1
Localidade nÃ£o preenchida,1,0,1
BA,0,1,1
BABGU,0,1,1
BAIRRO,3,14,17
BAIRRO CARIOCA,1,5,6
BAIRRO CURICICA,0,1,1
BAIRRO DE FATIMA,0,1,1
BAIRRO FILHOS,1,0,1
BAIRRO INHOAIBA,0,1,1
BAIRRO REALENGO,0,1,1
BAIXA,1,1,2
BAIXA DO SAPATEIRO,0,5,5
BAIXA SAPATEIRO,0,1,1
BAMGU,1,2,3
BANBGU,0,1,1
BANCARIOS,918,830,1
B ANCARIOS,0,1,1
BANCRARIOS,1,0,1
BANGIU,1,0,1
BANGO,2,0,2
BANGU,12,19,31
BA NGU,0,2,2
BANGU CANCELA PRETA,0,1,1
BANGU CATIRI,1,7,8
BANGUE,0,1,1
BANGUI,0,1,1
BANGUJ,1,0,1
BANGUU,1,0,1
BANGU VILA KENNEDY,0,1,1
BANNGU,0,1,1
BANRUA,0,1,1
BANU,1,1,2
BANUGU,0,1,1
BAQNGU,1,0,1
BARA DA TIJUCA,0,1,1
BARAR DA TIJUCA,1,0,1
BARR,1,0,1
BARRA,0,1,1
BARRA DA TIJIUCA,1,0,1
