Localidade,Quantidade Famílias Sem Registro Civil,Quantidade Famílias Cadastrado,Quantidade Famílias Total
Localidade nÃ£o preenchida,0,34,34
100,0,1,1
10022483705,0,1,1
1073333,0,1,1
11,0,3,3
1221111,0,1,1
1223333,0,2,2
12282218710,0,1,1
13,0,1,1
14,0,1,1
1401111,0,1,1
141,0,1,1
1461111,0,1,1
1482222,0,1,1
1493333,0,1,1
1573695760,0,1,1
17552,0,1,1
18,0,1,1
1CAJU,0,1,1
1IRAJA,0,1,1
1RAMOS,0,1,1
1SANTA CRUZ,0,1,1
1SEPETIBA,0,1,1
Localidade nÃ£o preenchida,0,8,8
21,0,2,2
22,0,2,2
25SANTA TERESA,0,1,1
Localidade nÃ£o preenchida,0,1,1
421111,0,1,1
43111,0,1,1
431111,0,3,3
540670,0,1,1
661111,0,1,1
75275554753,0,1,1
7 DE ABRIL,0,2,2
Localidade nÃ£o preenchida,0,1,1
820210,0,1,1
830230,0,1,1
831111,0,1,1
85,0,1,1
861111,0,3,3
Localidade nÃ£o preenchida,0,1,1
901111,0,1,1
9SEPETIBA,0,2,2
AARI,0,1,1
ABOLICAO,0,781,781
ABOLICO,0,1,1
ABOLIOCAO,0,1,1
ABOOICAO,0,1,1
ACARI,0,5,5
ACARIA,0,1,1
ACARI RUA,0,1,1
ACARU,0,1,1
ACHIETA,0,1,1
AGALHAES BASTOS,0,1,1
AGUA SA,0,1,1
AGUA SANTA,0,744,744
AJU,0,4,4
AL,0,1,1
ALTO,0,1,1
ALTO BOA VISTA,0,4,4
ALTO DA BOAVISTA,0,1,1
ALTO DA BOA VISTA,0,428,428
ALTO DA BOA VISTAQ,0,1,1
AMARELINHO,0,1,1
AMDARAI,0,1,1
AMIL,0,1,1
AN,0,2,2
ANA,0,1,1
ANACHIETA,0,1,1
ANCHEITA,0,5,5
ANCHIETA,0,5,5
ANCHIETE,0,1,1
ANCHIIETA,0,1,1
ANCHITA,0,2,2
ANCIHETA,0,1,1
ANDA,0,1,1
ANDARA,0,1,1
ANDARAI,0,1,1
ANDARAII,0,2,2
ANDRAI,0,1,1
ANDREA FABRICIO DA SILVA,0,1,1
ANDREA MENDES CRUZ,0,1,1
ANHIETA,0,1,1
ANI,0,1,1
ANIL,0,1,1
ANIL JACAREPAGUA,0,1,1
ANL,0,1,1
ANTARES,0,2,2
ANXIETA,0,1,1
ARARA,0,2,2
ARARA BENFICA,0,1,1
AREINHA,0,1,1
ASCARI,0,1,1
ATUBA,0,1,1
AUGUSTO VASCONCELOS,0,5,5
AV,0,1,1
AVENIDA,0,3,3
AVENIDA CIDADE DE DEUS LADO MPAR,0,1,1
BA,0,1,1
BABGU,0,1,1
BAIRRO,0,14,14
BAIRRO CARIOCA,0,5,5
BAIRRO CURICICA,0,1,1
BAIRRO DE FATIMA,0,1,1
BAIRRO INHOAIBA,0,1,1
BAIRRO REALENGO,0,1,1
BAIXA,0,1,1
BAIXA DO SAPATEIRO,0,5,5
BAIXA SAPATEIRO,0,1,1
BAMGU,0,2,2
BANCARIOS,0,708,708
B ANCARIOS,0,1,1
BANGU,0,19,19
BA NGU,0,2,2
BANGU CANCELA PRETA,0,1,1
BANGU CATIRI,0,7,7
BANGUE,0,1,1
BANGUI,0,1,1
BANGU VILA KENNEDY,0,1,1
BANNGU,0,1,1
BANRUA,0,1,1
BANU,0,1,1
BANUGU,0,1,1
BARA DA TIJUCA,0,1,1
BARRA,0,1,1
BARRA DA TIJUCA,0,315,315
BARRA DE GUARATBA,0,1,1
BARRA DE GUARATIBA,0,429,429
BARRA DE GUARTIBA,0,1,1
BARRA DE GURATIBA,0,1,1
BARRA DE TIJUCA,0,3,3
BARRA GUARATIBA,0,1,1
BARR DA TIJUCA,0,1,1
BARREIRA DO VASCO,0,19,19
BARRO FILHO,0,1,1
BARROS DE FILHO,0,1,1
BARROS FIHO,0,2,2
BARROS FILHO,0,1,1
BARROS FILHOA,0,1,1
BARROS FILHOS,0,14,14
BATAM,0,1,1
BATAN,0,5,5
BEBTO RIBEIRO,0,1,1
BECO,0,1,1
BECO COQUERAL,0,1,1
