Localidade,Quantidade Famílias Extrema Pobreza,Quantidade Famílias Pobreza,Quantidade Famílias Baixa Renda,Quantidade Famílias Acima de 1/2 S.M,Quantidade Famílias Total
Localidade nÃ£o preenchida,34,2,7,10,53
100,1,0,0,0,1
10022483705,1,0,0,0,1
11,3,0,0,0,3
11490508708,0,0,0,1,1
1163333,0,0,1,0,1
1223333,2,0,0,0,2
12282218710,1,0,0,0,1
13574383703,0,0,0,1,1
14,1,0,0,0,1
1401111,1,0,0,0,1
1481111,0,0,0,1,1
1491111,0,1,0,0,1
1573695760,1,0,0,0,1
17552,1,0,0,0,1
18,1,0,0,0,1
1BANGU,0,0,1,0,1
1CAJU,1,0,0,0,1
1IRAJA,1,0,0,0,1
1RAMOS,1,0,0,0,1
1SANTA CRUZ,1,0,0,0,1
1SEPETIBA,1,0,0,0,1
Localidade nÃ£o preenchida,8,0,1,1,10
2021,0,0,0,1,1
21,2,0,0,0,2
21725020,0,1,0,0,1
22,2,0,1,0,3
25SANTA TERESA,1,0,0,0,1
2ACARI,0,0,1,0,1
2SENADOR CAMARA,0,1,0,0,1
Localidade nÃ£o preenchida,1,0,0,0,1
Localidade nÃ£o preenchida,0,0,0,1,1
431111,1,0,0,0,1
Localidade nÃ£o preenchida,0,0,0,1,1
524,0,0,0,1,1
5 BOCA,0,0,1,0,1
75275554753,1,0,0,0,1
7 DE ABRIL,2,0,0,0,2
Localidade nÃ£o preenchida,1,0,0,0,1
820210,1,0,0,0,1
85,1,0,0,0,1
Localidade nÃ£o preenchida,0,0,0,1,1
9SEPETIBA,2,0,0,0,2
AANCHIETA,0,0,1,0,1
AARI,1,0,2,0,3
ABOLICAO,652,16,81,163,912
ABOLICO,1,0,0,0,1
ABOLIOCAO,1,0,0,0,1
ABOOICAO,1,0,0,0,1
ACARAI,0,1,0,0,1
ACARI,4,992,933,457,6
ACARIA,1,0,0,0,1
ACARI RUA,1,0,0,0,1
ACARO,0,1,0,0,1
ACARU,1,0,0,0,1
ACHIETA,0,1,0,0,1
ACRAI,0,1,0,0,1
AGALHAES BASTOS,1,0,0,0,1
AGUA SA,1,0,0,0,1
AGUA SANTA,660,14,69,83,826
AJU,4,0,1,0,5
AL,1,0,0,1,2
ALAGADO,0,0,1,0,1
ALT,0,0,1,0,1
ALTO,1,3,0,1,5
ALTO BOA VISTA,4,0,1,2,7
ALTO DA BOA,0,0,1,0,1
ALTO DA BOAVISTA,1,0,0,0,1
ALTO DA BOA VISTA,320,104,165,139,728
ALTO SIMAO,0,0,1,0,1
AMARELINHO,1,0,0,0,1
AMARO AMAURI DOS SANTOS,0,0,1,0,1
AMDARAI,1,0,0,0,1
AMIL,1,0,0,0,1
AMORIM,0,1,0,0,1
AN,2,0,0,0,2
ANA,1,0,0,0,1
ANACHIETA,1,1,0,0,2
ANADARAI,0,1,0,0,1
ANC,0,1,0,0,1
ANCHEITA,4,2,0,1,7
ANCHETA,0,0,1,0,1
ANCHIEA,0,0,1,0,1
ANCHIETA,4,742,1,757,6
ANCHIETE,1,0,0,0,1
ANCHIIETA,1,0,0,0,1
ANCHITA,1,1,0,0,2
ANCIETA,0,1,0,0,1
ANCIHETA,1,0,0,0,1
ANDA,1,0,0,0,1
ANDARA,1,0,0,0,1
ANDARAI,1,274,413,365,2
ANDARAII,2,0,0,0,2
ANDRAI,0,0,1,0,1
ANDREA FABRICIO DA SILVA,1,0,0,0,1
ANDREA MENDES CRUZ,1,0,0,0,1
ANHIETA,1,0,0,0,1
ANI,1,0,0,0,1
ANIL,1,392,737,521,3
AN IL,0,0,0,1,1
ANILA,0,0,1,0,1
ANIL JACAREPAGUA,1,0,0,1,2
ANL,1,0,1,0,2
ANTA CRUZ,0,0,0,1,1
ANTARES,2,0,0,0,2
ANXIETA,1,0,0,0,1
ARARA,2,0,0,0,2
ARARA BENFICA,1,0,0,0,1
AREINHA,1,0,0,0,1
ASCARI,1,0,0,0,1
AUGUSTO VASCONCELOS,5,0,0,1,6
AV,1,0,0,0,1
AVENIDA,3,0,1,1,5
Localidade nÃ£o preenchida,0,0,1,0,1
BA,1,0,0,0,1
BABGU,1,0,0,0,1
BAIRRO,14,0,0,3,17
BAIRRO CARIOCA,4,0,1,0,5
BAIRRO CURICICA,1,0,0,0,1
BAIRRO DE FATIMA,1,0,0,0,1
BAIRRO FILHOS,0,0,1,0,1
BAIRRO INHOAIBA,1,0,0,0,1
BAIRRO REALENGO,1,0,0,0,1
BAIXA,1,1,0,0,2
BAIXA DO SAPATEIRO,5,0,0,0,5
BAIXA SAPATEIRO,1,0,0,0,1
BAMGU,2,0,0,0,2
BANBGU,0,1,0,0,1
BANCARIOS,524,206,296,223,1
B ANCARIOS,1,0,0,0,1
BANCRARIOS,0,0,1,0,1
BANGIU,0,0,0,1,1
BANGO,0,0,2,0,2
BANGU,15,2,2,2,22
BA NGU,2,0,0,0,2
BANGU CANCELA PRETA,1,0,0,0,1
BANGU CATIRI,7,0,1,0,8
BANGUE,1,0,0,0,1
BANGUI,1,0,0,0,1
BANGUJ,0,0,0,1,1
BANGUU,0,1,0,0,1
BANGU VILA KENNEDY,1,0,0,0,1
BANNGU,1,0,0,0,1
BANRUA,1,0,0,0,1
BANU,1,0,0,1,2
BANUGU,1,0,0,0,1
BAQNGU,0,0,0,1,1
BARA DA TIJUCA,1,0,0,0,1
BARR,0,0,0,1,1
BARRA,1,0,0,0,1
BARRA DA TIJIUCA,0,0,1,0,1
B ARRA DA TIJUCA,0,0,0,1,1
BARRA DA TIJUCA,258,44,95,102,499
BARRA DE GUARATBA,1,0,0,0,1
BARRA DE GUARATIBA,332,48,53,75,508
BARRA DE GUARRTIBA,0,0,1,0,1
BARRA DE GUARTIBA,1,1,0,0,2
BARRA DE GURATIBA,1,0,0,0,1
BARRA DE TIJUCA,3,0,0,0,3
BARRA GUARATIBA,1,1,1,0,3
BARR DA TIJUCA,1,0,0,0,1
BARREIRA DO VASCO,19,0,0,0,19
BARRO FILHO,1,0,0,0,1
BARRO FILHOS,0,1,0,0,1
BARROS FIHO,2,1,0,0,3
BARROS FILGO,0,0,0,1,1
BARROS FILHO,1,297,306,172,2
BARROS FILHOA,1,0,0,0,1
BARROS FILHOS,10,5,0,0,15
BARRROS FILHO,0,1,0,0,1
BATAM,1,0,0,0,1
BATAN,5,0,0,0,5
BEBTO RIBEIRO,1,0,0,0,1
BECO COQUERAL,1,0,0,0,1
BECO DA GLORIA,1,0,0,0,1
BEENFICA,1,0,0,0,1
BEIRA RIO,1,0,0,0,1
BEMFICA,1,1,0,0,2
BEN,1,1,0,0,2
BENFIC,1,0,0,0,1
BENFICA,3,426,507,496,4
BENTO RBEIRO,1,0,0,0,1
BENTO REBEIRO,4,0,0,1,5
BENTO RIBEIRO,1,179,337,377,2
BENTO RIBERO,4,1,1,0,6
BNACARIOS,0,0,1,0,1
BNAGU,2,0,1,0,3
BO,1,0,0,0,1
