área,nome,codbairro,codra,cod_rp,nome_normalized
1705684.50390625,Paquetá                   ,13,21,1.1,PAQUETA
4056402.76611328,Freguesia (Ilha)          ,98,20,3.7,FREGUESIA
978046.54248047,Bancários                 ,97,20,3.7,BANCARIOS
18957422.1518555,Galeão                    ,104,20,3.7,GALEAO
1672545.75097656,Tauá                      ,101,20,3.7,TAUA
1186409.43945313,Portuguesa                ,103,20,3.7,PORTUGUESA
520557.46679688,Moneró                    ,102,20,3.7,MONERO
3385308.03125,Vigário Geral             ,48,31,3.5,VIGARIO GERAL
490102.43017578,Cocotá                    ,96,20,3.7,COCOTA
1973968.44726563,Jardim América            ,49,31,3.5,JARDIM AMERICA
1621126.18847656,Jardim Carioca            ,100,20,3.7,JARDIM CARIOCA
8311405.5546875,Pavuna                    ,114,25,3.6,PAVUNA
3856801.06689453,Cordovil                  ,46,31,3.5,CORDOVIL
3205882.07080078,Jardim Guanabara          ,99,20,3.7,JARDIM GUANABARA
2197968.69482422,Parada de Lucas           ,47,31,3.5,PARADA DE LUCAS
1517134.46630859,Parque Colúmbia           ,159,25,3.6,PARQUE COLUMBIA
379405.89892578,Praia da Bandeira         ,95,20,3.7,PRAIA DA BANDEIRA
4623381.89599609,Penha Circular            ,44,11,3.5,PENHA CIRCULAR
2068686.08105469,Cacuia                    ,93,20,3.7,CACUIA
7477839.76953125,Irajá                     ,76,14,3.3,IRAJA
4345726.97900391,Anchieta                  ,107,22,3.6,ANCHIETA
1605524.3203125,Acari                     ,111,25,3.6,ACARI
604129.77490234,Pitangueiras              ,94,20,3.7,PITANGUEIRAS
1814831.70556641,Costa Barros              ,113,25,3.6,COSTA BARROS
3522221.85253906,Brás de Pina              ,45,11,3.5,BRAS DE PINA
5811323.13867188,Penha                     ,43,11,3.5,PENHA
161117.78417969,Zumbi                     ,92,20,3.7,ZUMBI
861924.82275391,Ribeira                   ,91,20,3.7,RIBEIRA
2511970.33837891,Coelho Neto               ,110,25,3.6,COELHO NETO
3820007.67333984,Guadalupe                 ,106,22,3.6,GUADALUPE
3905790.00732422,Parque Anchieta           ,108,22,3.6,PARQUE ANCHIETA
1723864.33349609,Barros Filho              ,112,25,3.6,BARROS FILHO
515209.05175781,Vista Alegre              ,75,14,3.3,VISTA ALEGRE
2116869.79931641,Ricardo de Albuquerque    ,109,22,3.6,RICARDO DE ALBUQUERQUE
2261110.26855469,Colégio                   ,77,14,3.3,COLEGIO
1374847.05664063,Honório Gurgel            ,87,15,3.3,HONORIO GURGEL
3689833.24707031,Olaria                    ,42,10,3.1,OLARIA
1435715.75537109,Vila da Penha             ,74,14,3.3,VILA DA PENHA
4268761.30273438,Maré                      ,157,30,3.1,MARE
10756709.4238281,Vila Militar              ,135,33,5.1,VILA MILITAR
4690706.46972656,Cidade Universitária      ,105,20,3.7,CIDADE UNIVERSITARIA
2886705.52392578,Rocha Miranda             ,86,15,3.3,ROCHA MIRANDA
2793533.0,Ramos                     ,41,10,3.1,RAMOS
26054198.0688477,Realengo                  ,139,33,5.1,REALENGO
1519254.12988281,Vila Kosmos               ,72,14,3.3,VILA KOSMOS
3886225.66064453,Marechal Hermes           ,90,15,3.3,MARECHAL HERMES
1835710.64990234,Vicente de Carvalho       ,73,14,3.3,VICENTE DE CARVALHO
27417970.8330078,Paciência                 ,148,19,5.3,PACIENCIA
2225644.96826172,Engenho da Rainha         ,55,12,3.4,ENGENHO DA RAINHA
2960855.18457031,Complexo do Alemão        ,156,29,3.4,COMPLEXO DO ALEMAO
1101220.96240234,Vaz Lobo                  ,84,15,3.3,VAZ LOBO
4865791.84277344,Padre Miguel              ,140,17,5.1,PADRE MIGUEL
3037846.62695313,Bento Ribeiro             ,89,15,3.3,BENTO RIBEIRO
1255809.62109375,Turiaçú                   ,85,15,3.3,TURIACU
2199716.17089844,Bonsucesso                ,40,10,3.1,BONSUCESSO
3485274.29931641,Inhaúma                   ,54,12,3.4,INHAUMA
1747526.48583984,Tomás Coelho              ,56,12,3.4,TOMAS COELHO
8319614.02734375,Santíssimo                ,143,18,5.2,SANTISSIMO
3787613.32128906,Madureira                 ,83,15,3.3,MADUREIRA
2071126.77880859,Osvaldo Cruz              ,88,15,3.3,OSVALDO CRUZ
125044295.352051,Santa Cruz                ,149,19,5.3,SANTA CRUZ
1975949.31054688,Magalhães Bastos          ,138,33,5.1,MAGALHAES BASTOS
16908604.956543,Senador Camará            ,142,17,5.1,SENADOR CAMARA
